Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Start/End Drive,,START,10.467,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,314,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Virtual Meeting,,START,151.533,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4546,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-iPad,,START,151.700,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4551,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-iPad,,STOP,152.133,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4564,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-Road,,START,152.333,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4570,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-Road,,STOP,155.933,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4678,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-iPad,,START,156.100,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4683,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-iPad,,STOP,156.500,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4695,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-Road,,START,156.800,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4704,NA,
PID_10,2024-10-10 13:38:49.001,,854.000,Media file(s),player #1:D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,0.0,865.699,30.000,,Fixation-Road,,STOP,158.267,D:/vid/NSF_VM/PID10/NSF_VM_EmergencyDrive/20240210114038VCAP1.mp4,4748,NA,
