Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Start/End Drive,,START,8.300,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,249,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Virtual Meeting,,START,149.167,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4475,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,START,154.600,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4638,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,STOP,155.467,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4664,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-iPad,,START,155.867,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4676,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-iPad,,STOP,156.500,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4695,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,START,156.700,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4701,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,STOP,156.933,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4708,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-iPad,,START,157.133,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4714,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-iPad,,STOP,158.600,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4758,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,START,158.867,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4766,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,STOP,159.400,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4782,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-iPad,,START,159.600,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4788,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-iPad,,STOP,160.367,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4811,NA,
PID_05,2024-05-21 15:08:11.506,,858.633,Media file(s),player #1:D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,0.0,868.199,30.000,,Fixation-Road,,START,161.533,D:/vid/NSF_VM/PID05/NSF_VM_PlannedDrive/20240502113502VCAP1.mp4,4846,NA,
