Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Start/End Drive,,START,13.733,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,411,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-Road,,START,162.033,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,4851,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Virtual Meeting,,START,162.033,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,4851,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-Road,,STOP,163.567,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,4897,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-iPad,,START,163.733,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,4902,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-iPad,,STOP,164.833,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,4935,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-Road,,START,165.000,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,4940,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-Road,,STOP,174.733,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,5231,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-iPad,,START,174.867,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,5235,NA,
PID_06,2024-05-30 10:31:21.064,,853.900,Media file(s),player #1:D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,0.0,871.799,30.000,,Fixation-iPad,,STOP,175.933,D:/vid/NSF_VM/PID06/NSF_VM_EmergencyDrive/20240422160429VCAP1.mp4,5267,NA,
