Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Start/End Drive,,START,27.533,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,826,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-iPad,,START,170.600,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5118,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Virtual Meeting,,START,170.600,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5118,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-iPad,,STOP,175.200,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5256,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-Road,,START,175.467,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5264,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-Road,,STOP,176.967,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5309,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-iPad,,START,177.433,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5323,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-iPad,,STOP,181.833,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5455,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-Road,,START,182.300,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5469,NA,
PID_26,2024-11-05 14:36:11.265,,729.267,Media file(s),player #1:J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,0.0,892.666,30.000,,Fixation-Road,,STOP,182.900,J:/NSF_VM/Video Data/PID26/NSF_VM_EmergencyDrive/20231204164218VCAP1.mp4,5487,NA,
