Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Start/End Drive,,START,10.500,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,315,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-Road,,START,171.900,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5155,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Virtual Meeting,,START,171.900,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5155,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-Road,,STOP,176.500,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5293,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-iPad,,START,176.867,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5304,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-iPad,,STOP,177.267,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5316,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-Road,,START,177.533,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5324,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-Road,,STOP,179.833,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5393,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-iPad,,START,180.200,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5404,NA,
PID_17,2024-10-20 17:37:44.889,,878.767,Media file(s),player #1:D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,0.0,891.366,30.000,,Fixation-iPad,,STOP,181.667,D:/vid/NSF_VM/PID17/NSF_VM_EmergencyDrive/20240314170143VCAP1.mp4,5448,NA,
