Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Start/End Drive,,START,11.500,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,345,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Virtual Meeting,,START,159.700,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4791,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-iPad,,START,159.900,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4797,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-iPad,,STOP,160.967,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4829,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-Road,,START,161.067,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4832,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-Road,,STOP,161.933,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4858,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-iPad,,START,162.067,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4862,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-iPad,,STOP,162.667,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4880,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-Road,,START,162.800,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4884,NA,
PID_23,2024-10-29 14:20:55.906,,861.500,Media file(s),player #1:D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,0.0,913.766,30.000,,Fixation-Road,,STOP,163.867,D:/vid/NSF_VM/PID23/NSF_VM_PlannedDrive/20231122130231VCAP1.mp4,4916,NA,
