Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Start/End Drive,,START,9.433,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,283,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Virtual Meeting,,START,146.100,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4383,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-Road,,START,147.533,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4426,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-Road,,STOP,149.367,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4481,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-iPad,,START,149.667,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4490,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-iPad,,STOP,154.733,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4642,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-Road,,START,155.033,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4651,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-Road,,STOP,155.400,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4662,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-iPad,,START,155.633,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4669,NA,
PID_28,2024-10-31 19:02:52.240,,896.633,Media file(s),player #1:D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,0.0,1009.299,30.000,,Fixation-iPad,,STOP,156.600,D:/vid/NSF_VM/PID28/NSF_VM_EmergencyDrive/20231115101837VCAP1.avi,4698,NA,
